2024-06-15 23:21:35 | INFO  | c.e.m.MarketingAgencyManagementApplication | Starting MarketingAgencyManagementApplication using Java 17.0.9 with PID 8068 (E:\Bezbednost\KT2\backend\target\classes started by strah in E:\Bezbednost\KT2\backend)
2024-06-15 23:21:35 | INFO  | c.e.m.MarketingAgencyManagementApplication | No active profile set, falling back to 1 default profile: "default"
2024-06-15 23:21:35 | WARN  | c.o.s.b.o.e.OktaEnvironmentPostProcessorApplicationListener | Your Okta Issuer URL is missing. You can copy your domain from the Okta Developer Console. Follow these instructions to find it: https://bit.ly/finding-okta-domain
To fix this add the `okta.oauth2.issuer` property to your application environments.
2024-06-15 23:21:35 | INFO  | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-15 23:21:35 | INFO  | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-15 23:21:36 | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-15 23:21:36 | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 74 ms. Found 8 JPA repository interfaces.
2024-06-15 23:21:37 | WARN  | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [annotationActionEndpointMapping] is declared through a non-static factory method on that class; consider declaring it as static instead.
2024-06-15 23:21:37 | INFO  | o.s.w.s.a.s.AnnotationActionEndpointMapping | Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-06-15 23:21:37 | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat initialized with port 8090 (https)
2024-06-15 23:21:37 | INFO  | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["https-jsse-nio-8090"]
2024-06-15 23:21:37 | INFO  | o.a.catalina.core.StandardService | Starting service [Tomcat]
2024-06-15 23:21:37 | INFO  | o.a.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-15 23:21:37 | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
2024-06-15 23:21:37 | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 1785 ms
2024-06-15 23:21:37 | INFO  | o.h.jpa.internal.util.LogHelper | HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-15 23:21:37 | INFO  | org.hibernate.Version | HHH000412: Hibernate ORM core version 6.4.4.Final
2024-06-15 23:21:37 | INFO  | o.h.c.i.RegionFactoryInitiator | HHH000026: Second-level cache disabled
2024-06-15 23:21:38 | INFO  | o.s.o.j.p.SpringPersistenceUnitInfo | No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-15 23:21:38 | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Starting...
2024-06-15 23:21:38 | INFO  | com.zaxxer.hikari.pool.HikariPool | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@643d04c6
2024-06-15 23:21:38 | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Start completed.
2024-06-15 23:21:38 | WARN  | org.hibernate.orm.deprecation | HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-06-15 23:21:39 | INFO  | o.h.e.t.j.p.i.JtaPlatformInitiator | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | SQL Warning Code: 0, SQLState: 00000
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | relation "clients" does not exist, skipping
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | SQL Warning Code: 0, SQLState: 00000
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | relation "commercials" does not exist, skipping
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | SQL Warning Code: 0, SQLState: 00000
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | relation "commercials" does not exist, skipping
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | SQL Warning Code: 0, SQLState: 00000
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | relation "employees" does not exist, skipping
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | SQL Warning Code: 0, SQLState: 00000
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | relation "permission_role" does not exist, skipping
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | SQL Warning Code: 0, SQLState: 00000
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | relation "permission_role" does not exist, skipping
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | SQL Warning Code: 0, SQLState: 00000
2024-06-15 23:21:39 | WARN  | o.h.e.jdbc.spi.SqlExceptionHelper | relation "requests" does not exist, skipping
